id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup,fplid,xG90,npxG90,xA90
7582,Mark Travers,1,90,0,0.0,0,0.0,0,0,0,0,GK,Bournemouth,0,0.0,0.2622811496257782,0.2622811496257782,72,0.0,0.0,0.0
7589,Wesley Fofana,1,90,0,0.01361841056495905,0,0.0,1,0,0,0,D,Leicester,0,0.01361841056495905,0.16249607503414154,0.16249607503414154,272,0.01361841056495905,0.01361841056495905,0.0
7603,Marc Guehi,1,90,0,0.0,0,0.0,0,0,0,0,D,Crystal Palace,0,0.0,0.15128928422927854,0.15128928422927854,,0.0,0.0,0.0
7689,Ben Godfrey,1,17,0,0.0,0,0.0,0,0,0,0,D,Everton,0,0.0,0.0,0.0,193,0.0,0.0,0.0
7698,Leandro Trossard,1,77,0,0.06465094536542892,0,0.1600612998008728,2,2,1,0,D,Brighton,0,0.06465094536542892,0.950895607471466,0.7539879083633423,111,0.07556604003751433,0.07556604003751433,0.1870846361308903
7699,Adam Webster,1,90,0,0.02780456468462944,0,0.0,1,0,0,0,D,Brighton,0,0.02780456468462944,0.08975560963153839,0.08975560963153839,108,0.02780456468462944,0.02780456468462944,0.0
7701,Moussa Djenepo,1,74,0,0.08541289716959,1,0.04496364295482636,1,1,0,0,D,Southampton,0,0.08541289716959,0.04496364295482636,0.0,418,0.10388055061166351,0.10388055061166351,0.05468551170181585
7702,Dean Henderson,1,90,0,0.0,0,0.0,0,0,0,0,GK,Nottingham Forest,0,0.0,0.0,0.0,398,0.0,0.0,0.0
7723,John McGinn,1,90,0,0.04115986078977585,0,0.0,3,0,0,0,M,Aston Villa,0,0.04115986078977585,0.1013590693473816,0.060199212282896035,37,0.04115986078977585,0.04115986078977585,0.0
7726,Ezri Konsa Ngoyo,1,90,0,0.0,0,0.0,0,0,0,0,D,Aston Villa,0,0.0,0.060199212282896035,0.060199212282896035,44,0.0,0.0,0.0
7753,James Justin,1,90,0,0.0,0,0.038089554756879807,0,1,0,0,D,Leicester,0,0.0,0.12179631739854813,0.08370676636695862,268,0.0,0.0,0.038089554756879807
7768,Mason Mount,1,74,0,0.08732518553733826,0,0.0,2,0,0,0,F,Chelsea,0,0.08732518553733826,0.240968257188797,0.1814934462308884,142,0.10620630673460059,0.10620630673460059,0.0
7814,Taiwo Awoniyi,1,25,0,0.0,0,0.0,0,0,0,0,S,Nottingham Forest,0,0.0,0.0,0.0,397,0.0,0.0,0.0
8067,Reece James,1,90,0,0.08531397581100464,0,0.1488162875175476,2,3,1,0,D,Chelsea,0,0.08531397581100464,0.6680962443351746,0.6680962443351746,146,0.08531397581100464,0.08531397581100464,0.1488162875175476
8089,Kieran Tierney,1,6,0,0.0,0,0.0,0,0,0,0,S,Arsenal,0,0.0,0.05762733146548271,0.05762733146548271,8,0.0,0.0,0.0
8090,Lloyd Kelly,1,90,0,0.0,1,0.02723807282745838,0,1,0,0,D,Bournemouth,0,0.0,0.0,0.0,73,0.0,0.0,0.02723807282745838
8150,Anthony Gordon,1,90,0,0.04355604946613312,0,0.0,1,0,0,0,F,Everton,0,0.04355604946613312,0.06991385668516159,0.026357807219028476,195,0.04355604946613312,0.04355604946613312,0.0
8204,Neco Williams,1,90,0,0.024593345820903775,0,0.07497992366552353,1,1,1,0,D,Nottingham Forest,0,0.024593345820903775,0.09957326948642732,0.0,295,0.024593345820903775,0.024593345820903775,0.07497992366552353
8214,Tyrick Mitchell,1,90,0,0.0,0,0.0,0,0,0,0,D,Crystal Palace,0,0.0,0.15128928422927854,0.15128928422927854,170,0.0,0.0,0.0
8226,Tariq Lamptey,1,13,0,0.0,0,0.0,0,0,0,0,S,Brighton,0,0.0,0.0,0.0,114,0.0,0.0,0.0
8288,Tomas Soucek,1,90,0,0.0,0,0.0,0,0,0,0,M,West Ham,0,0.0,0.03588327392935753,0.03588327392935753,468,0.0,0.0,0.0
8327,Bruno Guimarães,1,90,0,0.01733291521668434,0,0.2828972339630127,1,3,0,0,M,Newcastle United,0,0.01733291521668434,1.1670303344726562,0.9308502078056335,374,0.01733291521668434,0.01733291521668434,0.2828972339630127
8379,Alexis Mac Allister,1,90,0,0.036125797778368,0,0.0,2,0,0,0,M,Brighton,0,0.036125797778368,0.036125797778368,0.0,116,0.036125797778368,0.036125797778368,0.0
8384,Armando Broja,1,6,0,0.046084895730018616,0,0.0,1,0,0,0,S,Chelsea,0,0.046084895730018616,0.0,0.0,150,0.6912734359502792,0.6912734359502792,0.0
8497,Cole Palmer,1,1,0,0.0,0,0.0,0,0,0,0,S,Manchester City,0,0.0,0.0,0.0,316,0.0,0.0,0.0
8635,Sven Botman,1,1,0,0.0,0,0.0,0,0,0,0,S,Newcastle United,0,0.0,0.0,0.0,377,0.0,0.0,0.0
8666,Cheick Oumar Doucoure,1,76,0,0.0,0,0.0,0,0,0,0,M,Crystal Palace,0,0.0,0.05573191121220589,0.05573191121220589,514,0.0,0.0,0.0
8704,Marek Rodák,1,90,0,0.0,0,0.0,0,0,0,0,GK,Fulham,0,0.0,0.0,0.0,213,0.0,0.0,0.0
8706,Eberechi Eze,1,87,0,0.3831236958503723,0,0.0,1,0,0,0,M,Crystal Palace,0,0.3831236958503723,0.5650616288185121,0.18193793296813965,169,0.3963348577762472,0.3963348577762472,0.0
8715,Illan Meslier,1,90,0,0.0,0,0.0,0,0,0,0,GK,Leeds,0,0.0,0.0,0.0,238,0.0,0.0,0.0
8717,Pascal Struijk,1,90,0,0.08713088929653168,0,0.0,1,0,0,0,D,Leeds,0,0.08713088929653168,0.4139037132263184,0.4139037132263184,235,0.08713088929653168,0.08713088929653168,0.0
8719,Kalvin Phillips,1,1,0,0.0,0,0.0,0,0,0,0,S,Manchester City,0,0.0,0.0,0.0,325,0.0,0.0,0.0
8720,Jack Harrison,1,90,0,0.0,1,0.6699734330177307,0,7,1,0,M,Leeds,0,0.0,0.44026541709899897,0.0,233,0.0,0.0,0.6699734330177307
8780,Joël Veltman,1,90,0,0.0,0,0.0,0,0,0,0,D,Brighton,0,0.0,0.017339807003736496,0.017339807003736496,109,0.0,0.0,0.0
8821,Donny van de Beek,1,10,0,0.0,0,0.0,0,0,0,0,S,Manchester United,0,0.0,0.11543387919664384,0.11543387919664384,336,0.0,0.0,0.0
8845,Hee-Chan Hwang,1,87,0,0.07958443462848662,1,0.5283135771751404,1,2,0,0,F,Wolverhampton Wanderers,0,0.07958443462848662,0.7334802746772766,0.12558229267597198,481,0.08232872547774478,0.08232872547774478,0.5465312867329039
8864,Matthew Cash,1,90,0,0.016840584576129913,0,0.0,1,0,0,0,D,Aston Villa,0,0.016840584576129913,0.17678934335708618,0.15994876623153687,43,0.016840584576129913,0.016840584576129913,0.0
8865,Ollie Watkins,1,21,0,0.0,0,0.02232612855732441,0,1,0,0,S,Aston Villa,0,0.0,0.02232612855732441,0.0,40,0.0,0.0,0.09568340810281889
8940,Antonee Robinson,1,90,0,0.0,0,0.0,0,0,0,0,D,Fulham,0,0.0,0.0,0.0,217,0.0,0.0,0.0
8941,Jacob Ramsey,1,49,0,0.058885879814624786,0,0.1369110494852066,2,2,1,0,M,Aston Villa,0,0.058885879814624786,0.15921376645565033,0.07671184092760086,47,0.10815773843502513,0.10815773843502513,0.2514692745646652
8942,Aaron Hickey,1,85,0,0.0,0,0.0,0,0,0,0,D,Brentford,0,0.0,0.0,0.0,510,0.0,0.0,0.0
8961,Rúben Dias,1,90,0,0.0,0,0.0,0,0,0,0,D,Manchester City,0,0.0,1.0524498224258425,1.0524498224258425,312,0.0,0.0,0.0
8965,Vladimir Coufal,1,90,0,0.0,0,0.023832671344280243,0,1,0,0,D,West Ham,0,0.0,0.023832671344280243,0.0,463,0.0,0.0,0.023832671344280243
9040,Conor Gallagher,1,1,0,0.0,0,0.0,0,0,0,0,S,Chelsea,0,0.0,0.0,0.0,148,0.0,0.0,0.0
9098,Robert Sánchez,1,90,0,0.0,0,0.0,0,0,0,0,GK,Brighton,0,0.0,0.01612862572073936,0.01612862572073936,113,0.0,0.0,0.0
9339,Joe Gelhardt,1,4,0,0.0,0,0.0,0,0,0,0,S,Leeds,0,0.0,0.0,0.0,242,0.0,0.0,0.0
9453,Moisés Caicedo,1,90,0,0.0,0,0.0874602198600769,0,3,0,0,M,Brighton,0,0.0,0.8949525952339172,0.8846260905265808,120,0.0,0.0,0.0874602198600769
9492,Crysencio Summerville,1,3,0,0.0,0,0.0,0,0,0,0,S,Leeds,0,0.0,0.0,0.0,240,0.0,0.0,0.0
9493,Sam Greenwood,1,15,0,0.1371113508939743,0,0.0,2,0,0,0,S,Leeds,0,0.1371113508939743,0.5054292678833008,0.4139037132263184,237,0.8226681053638458,0.8226681053638458,0.0
9501,Fabio Carvalho,1,10,0,0.05921857804059982,0,0.0,1,0,0,0,S,Liverpool,0,0.05921857804059982,0.0,0.0,296,0.5329672023653984,0.5329672023653984,0.0
9524,Anthony Elanga,1,1,0,0.0,0,0.0,0,0,0,0,S,Manchester United,0,0.0,0.0,0.0,344,0.0,0.0,0.0
9676,David Raya,1,90,0,0.0,0,0.0,0,0,0,0,GK,Brentford,0,0.0,0.0155373802408576,0.0155373802408576,81,0.0,0.0,0.0
9679,Rico Henry,1,90,0,0.0,1,0.44257423281669617,0,1,0,0,D,Brentford,0,0.0,0.4918326437473297,0.049258433282375336,85,0.0,0.0,0.44257423281669617
9680,Vitaly Janelt,1,90,0,0.0,0,0.13681572675704956,0,2,0,0,M,Brentford,0,0.0,0.1891683042049408,0.052352577447891235,86,0.0,0.0,0.13681572675704956
9683,Mads Bech Sørensen,1,5,0,0.0,0,0.0,0,0,0,0,S,Brentford,0,0.0,0.0145398061722517,0.0145398061722517,91,0.0,0.0,0.0
9686,Halil Dervisoglu,1,5,0,0.06689238548278809,0,0.0,2,0,0,0,S,Brentford,0,0.06689238548278809,0.06689238548278809,0.0,541,1.2040629386901855,1.2040629386901855,0.0
9689,Albert Sambi Lokonga,1,1,0,0.0,0,0.0,0,0,0,0,S,Arsenal,0,0.0,0.0,0.0,18,0.0,0.0,0.0
9733,Nathan Collins,1,90,0,0.0,0,0.0,0,0,0,0,D,Wolverhampton Wanderers,0,0.0,0.24270039796829224,0.24270039796829224,516,0.0,0.0,0.0
9734,Enock Mwepu,1,12,0,0.0,0,0.01999717205762863,0,1,0,0,S,Brighton,0,0.0,0.01999717205762863,0.01999717205762863,118,0.0,0.0,0.14997879043221474
9738,Patson Daka,1,16,0,0.0,0,0.0,0,0,0,0,S,Leicester,0,0.0,0.0,0.0,271,0.0,0.0,0.0
9740,José Sá,1,90,0,0.0,0,0.0,0,0,0,0,GK,Wolverhampton Wanderers,0,0.0,0.017455780878663063,0.017455780878663063,478,0.0,0.0,0.0
9741,Chem Campbell,1,3,0,0.0,0,0.0,0,0,0,0,S,Wolverhampton Wanderers,0,0.0,0.0,0.0,568,0.0,0.0,0.0
9912,Cameron Archer,1,5,0,0.0,0,0.0,0,0,0,0,S,Aston Villa,0,0.0,0.0,0.0,54,0.0,0.0,0.0
9914,Shandon Baptiste,1,16,0,0.0,0,0.0,0,0,0,0,S,Brentford,0,0.0,0.0,0.0,94,0.0,0.0,0.0
10004,Romeo Lavia,1,90,0,0.018676353618502617,0,0.0,1,0,0,0,M,Southampton,0,0.018676353618502617,0.0,0.0,321,0.018676353618502617,0.018676353618502617,0.0
10291,Vitalii Mykolenko,1,90,0,0.08910238742828369,0,0.08019696176052094,1,1,1,0,D,Everton,0,0.08910238742828369,0.08910238742828369,0.0,194,0.08910238742828369,0.08910238742828369,0.08019696176052094
10292,Nathan Patterson,1,90,0,0.0,0,0.0,0,0,0,0,D,Everton,0,0.0,0.11546020209789275,0.11546020209789275,197,0.0,0.0,0.0
10408,Luis Díaz,1,80,0,0.1780596822500229,0,0.0,2,0,0,0,F,Liverpool,0,0.1780596822500229,0.6517009735107422,0.5903128385543823,293,0.20031714253127575,0.20031714253127575,0.0
10552,Alejandro Garnacho,1,1,0,0.0,0,0.0,0,0,0,0,S,Manchester United,0,0.0,0.0,0.0,569,0.0,0.0,0.0
10698,Malcolm Ebiowei,1,3,0,0.0,0,0.0,0,0,0,0,S,Crystal Palace,0,0.0,0.0,0.0,173,0.0,0.0,0.0
10715,João Palhinha,1,90,0,0.12652352452278134,0,0.0,2,0,0,0,M,Fulham,0,0.12652352452278134,0.0,0.0,220,0.12652352452278134,0.12652352452278134,0.0
10716,Manor Solomon,1,22,0,0.0,0,0.0,0,0,0,0,S,Fulham,0,0.0,0.0,0.0,562,0.0,0.0,0.0
10740,Jordan Zemura,1,90,0,0.0,0,0.08674071729183197,0,1,0,0,D,Bournemouth,0,0.0,0.349021852016449,0.2622811496257782,76,0.0,0.0,0.08674071729183197
10741,Marcus Tavernier,1,89,0,0.0,0,0.3272783160209656,0,3,0,0,M,Bournemouth,0,0.0,0.31232890486717224,0.0,535,0.0,0.0,0.3309556004706393
10742,Ben Pearson,1,75,0,0.0,0,0.0,0,0,1,0,M,Bournemouth,0,0.0,0.0,0.0,68,0.0,0.0,0.0
